,Air,Combustion Gas,Flue Gas,Controlled OutPut,Liquid Out,Fuel,Liquid Expanded,To Gas Combustor,Final Product
Comp Mole Frac (Methane),0,1.76148923149729E-11,1.76148923149729E-11,0,1.76148923149729E-11,0.8,1.76148923149729E-11,0.8,1.76148923149729E-11
Comp Mole Frac (Propane),0,5.66207427691698E-34,5.66207427691698E-34,0,5.66207427691698E-34,0.1,5.66207427691698E-34,0.1,5.66207427691698E-34
Comp Mole Frac (i-Pentane),0,3.79599501716328E-39,3.79599501716328E-39,0,3.79599501716328E-39,0.02,3.79599501716328E-39,0.02,3.79599501716328E-39
Comp Mole Frac (i-Butane),0,3.46192802997175E-39,3.46192802997175E-39,0,3.46192802997175E-39,0.01,3.46192802997175E-39,0.01,3.46192802997175E-39
Comp Mole Frac (Ethane),0,3.6626503554408E-23,3.6626503554408E-23,0,3.6626503554408E-23,0.05,3.6626503554408E-23,0.05,3.6626503554408E-23
Comp Mole Frac (CO),0,0.0573204482957464,0.0573204482957464,0,0.0573204482957464,0,0.0573204482957464,0,0.0573204482957464
Comp Mole Frac (CO2),0,0.0622798345160336,0.0622798345160336,0,0.0622798345160336,0,0.0622798345160336,0,0.0622798345160336
Comp Mole Frac (H2O),0,0.175103991973185,0.175103991973185,0,0.175103991973185,0,0.175103991973185,0,0.175103991973185
Comp Mole Frac (Hydrogen),0,0.0337502332309764,0.0337502332309764,0,0.0337502332309764,0.02,0.0337502332309764,0.02,0.0337502332309764
Comp Mole Frac (NO2),0,3.1344170128358E-10,3.1344170128358E-10,0,3.1344170128358E-10,0,3.1344170128358E-10,0,3.1344170128358E-10
Comp Mole Frac (NO),0,2.8458472535518E-05,2.8458472535518E-05,0,2.8458472535518E-05,0,2.8458472535518E-05,0,2.8458472535518E-05
Comp Mole Frac (Oxygen),0.21,1.60062226111014E-06,1.60062226111014E-06,0.21,1.60062226111014E-06,0,1.60062226111014E-06,0,1.60062226111014E-06
Comp Mole Frac (Nitrogen),0.79,0.671515432558206,0.671515432558206,0.79,0.671515432558206,0,0.671515432558206,0,0.671515432558206
NOx (ppm),,,28.4587859772192,,,,,,
CO (ppm),,,57320.4482957464,,,,,,
