,Air,Combustion Gas,Flue Gas,Controlled OutPut,Liquid Out,Fuel,Liquid Expanded,To Gas Combustor,Final Product
Comp Mole Frac (Methane),0,9.50720969137847E-19,9.50720969137847E-19,0,9.50720969137847E-19,0.8,9.50720969137847E-19,0.8,9.50720969137847E-19
Comp Mole Frac (Propane),0,8.73668498389873E-39,8.73668498389873E-39,0,8.73668498389873E-39,0.1,8.73668498389873E-39,0.1,8.73668498389873E-39
Comp Mole Frac (i-Pentane),0,1.44493121939217E-39,1.44493121939217E-39,0,1.44493121939217E-39,0.02,1.44493121939217E-39,0.02,1.44493121939217E-39
Comp Mole Frac (i-Butane),0,1.53790424230018E-39,1.53790424230018E-39,0,1.53790424230018E-39,0.01,1.53790424230018E-39,0.01,1.53790424230018E-39
Comp Mole Frac (Ethane),0,7.52881320710595E-36,7.52881320710595E-36,0,7.52881320710595E-36,0.05,7.52881320710595E-36,0.05,7.52881320710595E-36
Comp Mole Frac (CO),0,0.00139462801653947,0.00139462801653947,0,0.00139462801653947,0,0.00139462801653947,0,0.00139462801653947
Comp Mole Frac (CO2),0,0.0924511912210417,0.0924511912210417,0,0.0924511912210417,0,0.0924511912210417,0,0.0924511912210417
Comp Mole Frac (H2O),0,0.16338007724981,0.16338007724981,0,0.16338007724981,0,0.16338007724981,0,0.16338007724981
Comp Mole Frac (Hydrogen),0,0.000499935448652591,0.000499935448652591,0,0.000499935448652591,0.02,0.000499935448652591,0.02,0.000499935448652591
Comp Mole Frac (NO2),0,3.45252004547232E-06,3.45252004547232E-06,0,3.45252004547232E-06,0,3.45252004547232E-06,0,3.45252004547232E-06
Comp Mole Frac (NO),0,0.00346828511258609,0.00346828511258609,0,0.00346828511258609,0,0.00346828511258609,0,0.00346828511258609
Comp Mole Frac (Oxygen),0.21,0.016017893086866,0.016017893086866,0.21,0.016017893086866,0,0.016017893086866,0,0.016017893086866
Comp Mole Frac (Nitrogen),0.79,0.722784537344459,0.722784537344459,0.79,0.722784537344459,0,0.722784537344459,0,0.722784537344459
